기준일,시도,시군구,기관명,주소,"신청유형
(A: 외래진료, 
B: 외래진료 및 입원)",전화번호
2020년 04월 01일 00시,충북,청주시 청원구,청주성모병원,충청북도 청주시 청원구 주성구 173-19,A,043-219-8000
2020년 04월 01일 00시,충북,청주시 흥덕구,하나병원,충청북도 청주시 흥덕구 2순환로 1262(가경동),A,043-230-6114
2020년 04월 01일 00시,충북,청주시 흥덕구,베스티안병원,충청북도 청주시 흥덕구 오송읍 오송생명1로 191,A,043-910-7575
2020년 04월 01일 00시,충북,충주시,건국대학교 충주병원,충청북도 충주시 국원대로 82,A,043-840-8200
2020년 04월 01일 00시,충남,논산시,백제병원,충청남도 논산시 시민로294번길14,A,041-730-8888
2020년 04월 01일 00시,충남,당진시,당진종합병원,충청남도 당진시 반촌로 5-15,A,041-357-0100
2020년 04월 01일 00시,충남,서산시,서산중앙병원,충청남도 서산시 수석산업로5,A,041-661-1000
2020년 04월 01일 00시,충남,아산시,아산충무병원,충청남도 아산시 문화로 381(모종동),B,041-536-6666
2020년 04월 01일 00시,충남,아산시,현대병원,충청남도 아산시 시민로 388,A,041-546-3636
2020년 04월 01일 00시,충남,예산군,예산종합병원,충청남도 예산군 예산읍 금오대로 94,A,041-330-4000
2020년 04월 01일 00시,충남,천안시 동남구,단국대학교병원,충청남도 천안시 동남구 망향로 201,B,041-1588-0063
2020년 04월 01일 00시,충남,천안시 동남구,순천향대학교 부속 천안병원,충청남도 천안시 동남구 순천향6길 31,B,041-570-2114
2020년 04월 01일 00시,충남,천안시 동남구,천안우리병원,충청남도 천안시 동남구 남부대로 350,A,041-590-9000
2020년 04월 01일 00시,충남,천안시 서북구,천안충무병원,충청남도 천안시 서북구 다가말3길8,B,041-570-7555
2020년 04월 01일 00시,충남,천안시 서북구,연세나무병원,충청남도 천안시 서북구 불당21로,A,041-537-0000
2020년 04월 01일 00시,충남,천안시 서북구,서울대정병원,충청남도 천안시 서북구 불당33길 18,A,041-415-0001
2020년 04월 01일 00시,전북,고창군,고창종합병원,전라북도 고창군 고창읍 화신1길9,A,063-560-5600
2020년 04월 01일 00시,전북,군산시,군산의료원,전라북도 군산시 의료원로 27,A,063-472-5000
2020년 04월 01일 00시,전북,군산시,동군산병원,전라북도 군산시 조촌로 149,B,063-440-0300
2020년 04월 01일 00시,전북,남원시,남원의료원,전라북도 남원시 충정로 365,A,063-620-1114
2020년 04월 01일 00시,전북,익산시,익산병원,전라북도 익산시 무왕로 969,A,063-840-9114
2020년 04월 01일 00시,전북,전주시 덕진구,전북대학교병원,전라북도 전주시 덕진구 건지로 20,B,063-250-1114
2020년 04월 01일 00시,전북,전주시 덕진구,전주고려병원,전라북도 전주시 덕진구 안덕원로 367,A,063-240-7300
2020년 04월 01일 00시,전북,전주시 덕진구,대자인병원,전라북도 전주시 덕진구 견훤로390,A,063-240-2000
2020년 04월 01일 00시,전북,전주시 덕진구,호성전주병원,전라북도 전주시 덕진구 동부대로 895,A,063-240-8800
2020년 04월 01일 00시,전북,전주시 완산구,예수병원,전라북도 전주시 완산구 서원로365,B,063-230-8114
2020년 04월 01일 00시,전북,전주시 완산구,전주병원,전라북도 전주시 완산구 한두평3길13,A,063-220-7200
2020년 04월 01일 00시,전남,고흥군,고흥종합병원,전라남도 고흥군 고흥읍 고흥로 1935,B,061-835-6000
2020년 04월 01일 00시,전남,고흥군,녹동현대병원,전라남도 고흥군 도양읍 차경구렁목길 215,B,061-840-1200 
2020년 04월 01일 00시,전남,목포시,목포시의료원,전라남도 목포시 이로로 18,A,061-260-6500
2020년 04월 01일 00시,전남,목포시,목포한국병원,전라남도 목포시 영산로 483,B,061-270-5500
2020년 04월 01일 00시,전남,목포시,목포기독병원,전라남도 목포시 백년대로303,B,061-280-7500
2020년 04월 01일 00시,전남,목포시,목포중앙병원,전라남도 목포시 영산로 623번지,B,061-280-3000
2020년 04월 01일 00시,전남,목포시,목포현대병원,전라남도 목포시 용당로 322-1,A,061-272-7588
2020년 04월 01일 00시,전남,순천시,성가롤로병원,전라남도 순천시 순광로 221,B,061-720-6434
2020년 04월 01일 00시,전남,순천시,순천한국병원,전라남도 순천시 우명길42,B,061-740-5000
2020년 04월 01일 00시,전남,여수시,여천전남병원,전라남도 여수시 무선로 95,A,061-690-6000
2020년 04월 01일 00시,전남,여수시,여수전남병원,전라남도 여수시 좌수영로49,A,061-640-7575
2020년 04월 01일 00시,전남,여수시,여수제일병원,전라남도 여수시 쌍봉로 70,A,061-689-8114
2020년 04월 01일 00시,전남,여수시,여수한국병원,전라남도 여수시 여천체육공원길10,A,061-653-2000
2020년 04월 01일 00시,전남,장흥군,장흥종합병원,전라남도 장흥군 장흥읍 흥성로74,A,061-862-8300
2020년 04월 01일 00시,경북,경산시,경산중앙병원,경상북도 경산시 경안로 11,A,053-715-0100
2020년 04월 01일 00시,경북,경산시,세명병원,경상북도 경산시 경안로 208,A,053-819-8364
2020년 04월 01일 00시,경북,경주시,동국대학교 경주병원,경상북도 경주시 동대로87,A,054-748-9300
2020년 04월 01일 00시,경북,구미시,차의과학대학교부속구미차병원,경상북도 구미시 신시로10길 12,A,054-450-9700
2020년 04월 01일 00시,경북,구미시,순천향대학교부속구미병원,경상북도 구미시 1공단로 179,B,054-468-9114
2020년 04월 01일 00시,경북,구미시,바른유병원,경상북도 구미시 역전로 28,A,054-457-8676
2020년 04월 01일 00시,경북,김천시,김천제일병원,경상북도 김천시 신음1길 12,A,054-420-9300
2020년 04월 01일 00시,경북,문경시,문경제일병원,경상북도 문경시 당교3길 25,A,054-550-7700
2020년 04월 01일 00시,경북,상주시,상주성모병원,경상북도 상주시 냉림서성길7,A,054-532-5001
2020년 04월 01일 00시,경북,안동시,안동성소병원,경상북도 안동시 서동문로99,A,054-850-8114
2020년 04월 01일 00시,경북,안동시,안동병원,경상북도 안동시 앙실로11,A,054-840-1004
2020년 04월 01일 00시,경북,포항시 남구,포항성모병원,경상북도 포항시 남구 대잠동길 17,A,054-272-0151
2020년 04월 01일 00시,경북,포항시 남구,포항세명기독병원,경상북도 포항시 남구 남구 포스코대로351,B,054-275-0005
2020년 04월 01일 00시,경북,포항시 남구,에스포항병원,경상북도 포항시 남구 희망대로 352,A,054-289-9000
2020년 04월 01일 00시,경북,포항시 북구,좋은선린병원,경상북도 포항시 북구 대신로 43,A,054-245-5000
2020년 04월 01일 00시,경북,포항시 북구,포항우리병원,경상북도 포항시 북구 포스코대로 256,A,054-240-6000
2020년 04월 01일 00시,경남,거제시,거붕백병원,경상남도 거제시 계룡로 5길 14,A,055-733-0000
2020년 04월 01일 00시,경남,거제시,대우병원,경상남도 거제시 도모길16,B,055-680-8114
2020년 04월 01일 00시,경남,거제시,맑은샘병원,경상남도 거제시 연초면 거제대로 4477,A,055-736-1004
2020년 04월 01일 00시,경남,거창군,거창적십자병원,경상남도 거창군 거창읍 중앙로 91,A,055-944-3251
2020년 04월 01일 00시,경남,김해시,조은금강병원,경상남도 김해시 김해대로 1814-37,A,055-330-0300
2020년 04월 01일 00시,경남,김해시,경희의료원 교육협력 중앙병원,경상남도 김해시 분성로94-8,A,055-330-6000
2020년 04월 01일 00시,경남,김해시,진영병원,경상남도 김해시 진영읍김해대로 334번길 9,A,055-340-3700
2020년 04월 01일 00시,경남,밀양시,밀양윤병원,경상남도 밀양시 삼문중앙로32,A,055-354-2200
2020년 04월 01일 00시,경남,사천시,삼천포서울병원,경상남도 사천시 남일로 33,A,055-835-9900
2020년 04월 01일 00시,경남,양산시,베데스다병원,경상남도 양산시 신기로 28,A,055-384-9901
2020년 04월 01일 00시,경남,양산시,양산부산대학교병원,경상남도 양산시 양산시 물금읍 금오로 20,B,055-1577-7512
2020년 04월 01일 00시,경남,진주시,진주고려병원,경상남도 진주시 동진로2,A,055-751-2500
2020년 04월 01일 00시,경남,진주시,경상대학교병원,경상남도 진주시 강남로 79,B,055-750-8000
2020년 04월 01일 00시,경남,진주시,진주제일병원,경상남도 진주시 진주대로 885,A,055-750-7123
2020년 04월 01일 00시,경남,진주시,한일병원,경상남도 진주시 범골로 17,A,055-759-7777
2020년 04월 01일 00시,경남,진주시,반도병원,경상남도 진주시 남강로 701,A,055-747-6000
2020년 04월 01일 00시,경남,진주시,진주세란병원,경상남도 진주시 진주대로 829,A,055-760-7578
2020년 04월 01일 00시,경남,진주시,진주복음병원,경상남도 진주시 진양호로 370,A,055-743-2580
2020년 04월 01일 00시,경남,진주시,진주바른병원,경상남도 진주시 동진로7,A,055-790-3000
2020년 04월 01일 00시,경남,창원시 마산합포구,창원제일종합병원,경상남도 창원시 마산합포구 3.15대로 238,A,055-223-9000
2020년 04월 01일 00시,경남,창원시 마산합포구,에스엠지연세병원,경상남도 창원시 마산합포구 3.15대로 76,B,055-243-0100
2020년 04월 01일 00시,경남,창원시 마산회원구,청아병원,경상남도 창원시 마산회원구 내서읍 광려천서로 67,A,055-230-1500
2020년 04월 01일 00시,경남,창원시 마산회원구,365병원,경상남도 창원시 마산회원구 3.15대로 686,A,055-248-0365
2020년 04월 01일 00시,경남,창원시 마산회원구,마산서울병원,경상남도 창원시 마산회원구 3.15대로 653,A,055-299-7000
2020년 04월 01일 00시,경남,창원시 성산구,CNA서울아동병원,경상남도 창원시 성산구 마디미서로 54,A,055-262-8511
2020년 04월 01일 00시,경남,창원시 의창구,창원파티마병원,경상남도 창원시 의창구 창이대로 45,A,055-270-1000
2020년 04월 01일 00시,경남,창원시 진해구,연세에스병원,경상남도 창원시 진해구 해원로32번길 13,A,055-548-7700
2020년 04월 01일 00시,경남,함양군,함양성심병원,경상남도 함양군 함양읍 고운로 70,A,055-963-4322
2020년 04월 01일 00시,제주,제주시,제주한라병원,제주특별자치도 제주시 도령로 65,B,064-740-5000
2020년 04월 01일 00시,제주,제주시,제주대학교병원,제주특별자치도 제주시 아란13길 15,B,064-717-1114
2020년 04월 01일 00시,제주,제주시,한마음병원,제주특별자치도 제주시 연신로 52,A,064-750-9000
2020년 04월 01일 00시,제주,제주시,중앙병원,제주특별자치도 제주시 월랑로 91,A,064-786-7000
